Channel:,Lum, Red, Green, Blue
Means:,600,5776, 760,5595, 697,8486, 343,5733
Note: Peaks measured from 20% upward
864, 4, 3, 1, 4
865, 1, 3, 3, 5
866, 5, 3, 5, 3
867, 7, 4, 3, 5
868, 3, 3, 3, 4
869, 4, 3, 2, 3
870, 7, 4, 4, 4
871, 8, 5, 4, 3
872, 6, 3, 4, 3
873, 4, 4, 2, 4
874, 7, 3, 2, 4
875, 4, 6, 7, 7
876, 4, 5, 9, 3
877, 1, 3, 8, 7
878, 4, 4, 4, 2
879, 5, 4, 5, 6
880, 4, 3, 6, 7
881, 2, 4, 3, 4
882, 3, 11, 4, 2
883, 4, 4, 3, 3
884, 3, 2, 5, 3
885, 4, 3, 2, 5
886, 7, 3, 4, 1
887, 3, 6, 3, 2
888, 4, 6, 8, 5
889, 6, 8, 4, 4
890, 5, 3, 2, 5
891, 1, 2, 7, 3
892, 0, 6, 5, 5
893, 4, 5, 3, 4
894, 2, 7, 12, 8
895, 2, 7, 2, 8
896, 2, 5, 5, 6
897, 5, 5, 4, 6
898, 4, 5, 2, 3
899, 3, 3, 7, 6
900, 5, 3, 5, 7
901, 5, 10, 2, 3
902, 7, 5, 4, 5
903, 5, 2, 6, 2
904, 5, 2, 3, 5
905, 8, 5, 3, 9
906, 9, 5, 4, 6
907, 6, 2, 1, 6
908, 8, 2, 2, 4
909, 3, 1, 3, 1
910, 6, 7, 3, 7
911, 6, 5, 3, 8
912, 2, 2, 4, 3
913, 4, 4, 5, 4
914, 4, 3, 7, 5
915, 10, 1, 5, 4
916, 1, 7, 4, 8
917, 6, 5, 3, 7
918, 1, 2, 2, 5
919, 2, 3, 2, 5
920, 5, 3, 7, 7
921, 4, 5, 3, 4
922, 3, 5, 2, 2
923, 6, 4, 7, 4
924, 3, 4, 0, 1
925, 3, 4, 2, 4
926, 2, 3, 3, 3
927, 5, 3, 4, 5
928, 3, 2, 1, 3
929, 6, 3, 3, 6
930, 4, 3, 1, 4
931, 3, 6, 6, 4
932, 7, 1, 2, 6
933, 4, 1, 6, 8
934, 2, 4, 4, 5
935, 2, 4, 3, 7
936, 7, 4, 7, 0
937, 4, 4, 3, 5
938, 1, 5, 3, 7
939, 2, 4, 7, 4
